STATE,STNAME,COUNTY,CTYNAME,age_name,AGEGRP,YEAR,year_name,race,sex,value,race_name,fips
11,District of Columbia,001,District of Columbia,total,0,3,2010,all,both,605085,NA,11001
11,District of Columbia,001,District of Columbia,age_00-04,1,3,2010,all,both,33279,NA,11001
11,District of Columbia,001,District of Columbia,age_05-09,2,3,2010,all,both,26155,NA,11001
11,District of Columbia,001,District of Columbia,age_10-14,3,3,2010,all,both,24939,NA,11001
11,District of Columbia,001,District of Columbia,age_15-19,4,3,2010,all,both,39768,NA,11001
11,District of Columbia,001,District of Columbia,age_20-24,5,3,2010,all,both,63326,NA,11001
11,District of Columbia,001,District of Columbia,age_25-29,6,3,2010,all,both,70580,NA,11001
11,District of Columbia,001,District of Columbia,age_30-34,7,3,2010,all,both,56235,NA,11001
11,District of Columbia,001,District of Columbia,age_35-39,8,3,2010,all,both,43232,NA,11001
11,District of Columbia,001,District of Columbia,age_40-44,9,3,2010,all,both,38034,NA,11001
11,District of Columbia,001,District of Columbia,age_45-49,10,3,2010,all,both,38618,NA,11001
11,District of Columbia,001,District of Columbia,age_50-54,11,3,2010,all,both,37270,NA,11001
11,District of Columbia,001,District of Columbia,age_55-59,12,3,2010,all,both,34492,NA,11001
11,District of Columbia,001,District of Columbia,age_60-64,13,3,2010,all,both,30053,NA,11001
11,District of Columbia,001,District of Columbia,age_65-69,14,3,2010,all,both,21619,NA,11001
11,District of Columbia,001,District of Columbia,age_70-74,15,3,2010,all,both,15569,NA,11001
11,District of Columbia,001,District of Columbia,age_75-79,16,3,2010,all,both,11807,NA,11001
11,District of Columbia,001,District of Columbia,age_80-84,17,3,2010,all,both,9699,NA,11001
11,District of Columbia,001,District of Columbia,age_85+,18,3,2010,all,both,10410,NA,11001
11,District of Columbia,001,District of Columbia,total,0,4,2011,all,both,619602,NA,11001
11,District of Columbia,001,District of Columbia,age_00-04,1,4,2011,all,both,36210,NA,11001
11,District of Columbia,001,District of Columbia,age_05-09,2,4,2011,all,both,26677,NA,11001
11,District of Columbia,001,District of Columbia,age_10-14,3,4,2011,all,both,24797,NA,11001
11,District of Columbia,001,District of Columbia,age_15-19,4,4,2011,all,both,39041,NA,11001
11,District of Columbia,001,District of Columbia,age_20-24,5,4,2011,all,both,60637,NA,11001
11,District of Columbia,001,District of Columbia,age_25-29,6,4,2011,all,both,74628,NA,11001
