age_name,min,max,race_cat,n
00-04,0,4,White,6962
05-09,5,9,White,3914
10-14,10,14,White,2605
15-19,15,19,White,5215
20-24,20,24,White,8981
25-29,25,29,White,17730
30-34,30,34,White,20625
35-39,35,39,White,14711
40-44,40,44,White,9219
45-49,45,49,White,7621
50-54,50,54,White,6833
55-59,55,59,White,6024
60-64,60,64,White,5015
65-69,65,69,White,4581
70-74,70,74,White,3700
75-79,75,79,White,2522
80-84,80,84,White,1456
85+,85,NA,White,1657
00-04,0,4,White,6593
05-09,5,9,White,3879
10-14,10,14,White,2616
15-19,15,19,White,6085
20-24,20,24,White,11560
25-29,25,29,White,21373
30-34,30,34,White,21201
35-39,35,39,White,13605
40-44,40,44,White,8030
45-49,45,49,White,6082
50-54,50,54,White,5252
55-59,55,59,White,4650
60-64,60,64,White,4657
65-69,65,69,White,4646
70-74,70,74,White,4142
75-79,75,79,White,2694
80-84,80,84,White,1485
85+,85,NA,White,2347
00-04,0,4,Black,10426
05-09,5,9,Black,10450
10-14,10,14,Black,8543
15-19,15,19,Black,8895
20-24,20,24,Black,10213
25-29,25,29,Black,13829
30-34,30,34,Black,10656
35-39,35,39,Black,9472
40-44,40,44,Black,7557
45-49,45,49,Black,8063
50-54,50,54,Black,8607
55-59,55,59,Black,9700
60-64,60,64,Black,8692
65-69,65,69,Black,6418
70-74,70,74,Black,4572
75-79,75,79,Black,2936
80-84,80,84,Black,2012
85+,85,NA,Black,2058
00-04,0,4,Black,10072
05-09,5,9,Black,10095
10-14,10,14,Black,8701
15-19,15,19,Black,9492
20-24,20,24,Black,12021
25-29,25,29,Black,14918
30-34,30,34,Black,13041
35-39,35,39,Black,11524
40-44,40,44,Black,9146
45-49,45,49,Black,9790
50-54,50,54,Black,10335
55-59,55,59,Black,11552
60-64,60,64,Black,11292
65-69,65,69,Black,9372
70-74,70,74,Black,6748
75-79,75,79,Black,5026
80-84,80,84,Black,3895
85+,85,NA,Black,5218
00-04,0,4,MultipleOther,37
05-09,5,9,MultipleOther,36
10-14,10,14,MultipleOther,17
15-19,15,19,MultipleOther,21
20-24,20,24,MultipleOther,53
25-29,25,29,MultipleOther,81
30-34,30,34,MultipleOther,85
35-39,35,39,MultipleOther,64
40-44,40,44,MultipleOther,48
45-49,45,49,MultipleOther,26
50-54,50,54,MultipleOther,42
55-59,55,59,MultipleOther,39
60-64,60,64,MultipleOther,51
65-69,65,69,MultipleOther,25
70-74,70,74,MultipleOther,21
75-79,75,79,MultipleOther,18
80-84,80,84,MultipleOther,8
85+,85,NA,MultipleOther,16
00-04,0,4,MultipleOther,31
05-09,5,9,MultipleOther,24
10-14,10,14,MultipleOther,23
15-19,15,19,MultipleOther,28
20-24,20,24,MultipleOther,66
25-29,25,29,MultipleOther,84
30-34,30,34,MultipleOther,69
35-39,35,39,MultipleOther,44
40-44,40,44,MultipleOther,37
45-49,45,49,MultipleOther,43
50-54,50,54,MultipleOther,39
55-59,55,59,MultipleOther,51
60-64,60,64,MultipleOther,50
65-69,65,69,MultipleOther,26
70-74,70,74,MultipleOther,29
75-79,75,79,MultipleOther,33
80-84,80,84,MultipleOther,15
85+,85,NA,MultipleOther,27
00-04,0,4,Asian,678
05-09,5,9,Asian,388
10-14,10,14,Asian,310
15-19,15,19,Asian,574
20-24,20,24,Asian,1285
25-29,25,29,Asian,1863
30-34,30,34,Asian,1912
35-39,35,39,Asian,1599
40-44,40,44,Asian,1103
45-49,45,49,Asian,871
50-54,50,54,Asian,530
55-59,55,59,Asian,404
60-64,60,64,Asian,343
65-69,65,69,Asian,300
70-74,70,74,Asian,164
75-79,75,79,Asian,111
80-84,80,84,Asian,84
85+,85,NA,Asian,95
00-04,0,4,Asian,690
05-09,5,9,Asian,361
10-14,10,14,Asian,246
15-19,15,19,Asian,843
20-24,20,24,Asian,1862
25-29,25,29,Asian,2771
30-34,30,34,Asian,2890
35-39,35,39,Asian,2120
40-44,40,44,Asian,1531
45-49,45,49,Asian,964
50-54,50,54,Asian,724
55-59,55,59,Asian,573
60-64,60,64,Asian,556
65-69,65,69,Asian,497
70-74,70,74,Asian,299
75-79,75,79,Asian,211
80-84,80,84,Asian,158
85+,85,NA,Asian,154
00-04,0,4,MultipleOther,12
05-09,5,9,MultipleOther,9
10-14,10,14,MultipleOther,2
15-19,15,19,MultipleOther,10
20-24,20,24,MultipleOther,16
25-29,25,29,MultipleOther,28
30-34,30,34,MultipleOther,21
35-39,35,39,MultipleOther,9
40-44,40,44,MultipleOther,13
45-49,45,49,MultipleOther,10
50-54,50,54,MultipleOther,3
55-59,55,59,MultipleOther,9
60-64,60,64,MultipleOther,6
65-69,65,69,MultipleOther,6
70-74,70,74,MultipleOther,4
75-79,75,79,MultipleOther,2
80-84,80,84,MultipleOther,2
85+,85,NA,MultipleOther,2
00-04,0,4,MultipleOther,13
05-09,5,9,MultipleOther,10
10-14,10,14,MultipleOther,10
15-19,15,19,MultipleOther,11
20-24,20,24,MultipleOther,17
25-29,25,29,MultipleOther,26
30-34,30,34,MultipleOther,23
35-39,35,39,MultipleOther,21
40-44,40,44,MultipleOther,8
45-49,45,49,MultipleOther,7
50-54,50,54,MultipleOther,9
55-59,55,59,MultipleOther,4
60-64,60,64,MultipleOther,9
65-69,65,69,MultipleOther,3
70-74,70,74,MultipleOther,6
75-79,75,79,MultipleOther,5
80-84,80,84,MultipleOther,0
85+,85,NA,MultipleOther,1
00-04,0,4,MultipleOther,1119
05-09,5,9,MultipleOther,777
10-14,10,14,MultipleOther,486
15-19,15,19,MultipleOther,470
20-24,20,24,MultipleOther,585
25-29,25,29,MultipleOther,825
30-34,30,34,MultipleOther,737
35-39,35,39,MultipleOther,582
40-44,40,44,MultipleOther,379
45-49,45,49,MultipleOther,285
50-54,50,54,MultipleOther,259
55-59,55,59,MultipleOther,190
60-64,60,64,MultipleOther,154
65-69,65,69,MultipleOther,139
70-74,70,74,MultipleOther,58
75-79,75,79,MultipleOther,55
80-84,80,84,MultipleOther,10
85+,85,NA,MultipleOther,20
00-04,0,4,MultipleOther,1055
05-09,5,9,MultipleOther,747
10-14,10,14,MultipleOther,454
15-19,15,19,MultipleOther,580
20-24,20,24,MultipleOther,804
25-29,25,29,MultipleOther,1084
30-34,30,34,MultipleOther,977
35-39,35,39,MultipleOther,743
40-44,40,44,MultipleOther,446
45-49,45,49,MultipleOther,361
50-54,50,54,MultipleOther,309
55-59,55,59,MultipleOther,289
60-64,60,64,MultipleOther,226
65-69,65,69,MultipleOther,230
70-74,70,74,MultipleOther,147
75-79,75,79,MultipleOther,83
80-84,80,84,MultipleOther,48
85+,85,NA,MultipleOther,70
00-04,0,4,Hispanic,3869
05-09,5,9,Hispanic,3552
10-14,10,14,Hispanic,2331
15-19,15,19,Hispanic,2350
20-24,20,24,Hispanic,2660
25-29,25,29,Hispanic,4295
30-34,30,34,Hispanic,4481
35-39,35,39,Hispanic,4148
40-44,40,44,Hispanic,3246
45-49,45,49,Hispanic,2683
50-54,50,54,Hispanic,2003
55-59,55,59,Hispanic,1633
60-64,60,64,Hispanic,1204
65-69,65,69,Hispanic,715
70-74,70,74,Hispanic,481
75-79,75,79,Hispanic,260
80-84,80,84,Hispanic,172
85+,85,NA,Hispanic,158
00-04,0,4,Hispanic,4060
05-09,5,9,Hispanic,3380
10-14,10,14,Hispanic,2229
15-19,15,19,Hispanic,2326
20-24,20,24,Hispanic,2801
25-29,25,29,Hispanic,4189
30-34,30,34,Hispanic,4273
35-39,35,39,Hispanic,3570
40-44,40,44,Hispanic,2699
45-49,45,49,Hispanic,1981
50-54,50,54,Hispanic,1721
55-59,55,59,Hispanic,1558
60-64,60,64,Hispanic,1371
65-69,65,69,Hispanic,1026
70-74,70,74,Hispanic,749
75-79,75,79,Hispanic,463
80-84,80,84,Hispanic,282
85+,85,NA,Hispanic,330
